numero,descricao,pagina_pdf,energia_kcal,energia_kcal_ok,proteina_g,proteina_g_ok,lipideos_g,lipideos_g_ok,carboidrato_g,carboidrato_g_ok,fibra_g,fibra_g_ok
1,"Arroz, integral, cozido",29,124.0,,2.6,,1.0,,25.8,,2.7,
2,"Arroz, integral, cru",29,360.0,,7.3,,1.9,,77.5,,4.8,
3,"Arroz, tipo 1, cozido",29,128.0,,2.5,,0.2,,28.1,,1.6,
4,"Arroz, tipo 1, cru",29,358.0,,7.2,,0.3,,78.8,,1.6,
5,"Arroz, tipo 2, cozido",29,130.0,,2.6,,0.4,,28.2,,1.1,
6,"Arroz, tipo 2, cru",29,358.0,,7.2,,0.3,,78.9,,1.7,
7,"Aveia, flocos, crua",29,394.0,,13.9,,8.5,,66.6,,9.1,
8,"Biscoito, doce, maisena",29,443.0,,8.1,,12.0,,75.2,,2.1,
9,"Biscoito, doce, recheado com chocolate",29,472.0,,6.4,,19.6,,70.5,,3.0,
10,"Biscoito, doce, recheado com morango",29,471.0,,5.7,,19.6,,71.0,,1.5,
11,"Biscoito, doce, wafer, recheado de chocolate",29,502.0,,5.6,,24.7,,67.5,,1.8,
12,"Biscoito, doce, wafer, recheado de morango",29,513.0,,4.5,,26.4,,67.4,,0.8,
13,"Biscoito, salgado, cream cracker",29,432.0,,10.1,,14.4,,68.7,,2.5,
14,"Bolo, mistura para",29,419.0,,6.2,,6.1,,84.7,,1.7,
15,"Bolo, pronto, aipim",29,324.0,,4.4,,12.7,,47.9,,0.7,
16,"Bolo, pronto, chocolate",29,410.0,,6.2,,18.5,,54.7,,1.4,
17,"Bolo, pronto, coco",29,333.0,,5.7,,11.3,,52.3,,1.1,
18,"Bolo, pronto, milho",29,311.0,,4.8,,12.4,,45.1,,0.7,
19,"Canjica, branca, crua",29,358.0,,7.2,,1.0,,78.1,,5.5,
20,"Canjica, com leite integral",29,112.0,,2.4,,1.2,,23.6,,1.2,
21,"Cereais, milho, flocos, com sal",29,370.0,,7.3,,1.6,,80.8,,5.3,
22,"Cereais, milho, flocos, sem sal",29,363.0,,6.9,,1.2,,80.4,,1.8,
23,"Cereais, mingau, milho, infantil",29,394.0,,6.4,,1.1,,87.3,,3.2,
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",29,381.0,,8.9,,2.1,,81.6,,5.0,
25,"Cereal matinal, milho",29,365.0,,7.2,,1.0,,83.8,,4.1,
26,"Cereal matinal, milho, açúcar",29,377.0,,4.7,,0.7,,88.8,,2.1,
27,"Creme de arroz, pó",29,386.0,,7.0,,1.2,,83.9,,1.1,
28,"Creme de milho, pó",29,333.0,,4.8,,1.6,,86.1,,3.7,
29,"Curau, milho verde",29,78.0,,2.4,,1.6,,13.9,,0.5,
30,"Curau, milho verde, mistura para",29,402.0,,2.2,,13.4,,79.8,,2.5,
31,"Farinha, de arroz, enriquecida",29,363.0,,1.3,,0.3,,85.5,,0.6,
32,"Farinha, de centeio, integral",31,336.0,,12.5,,1.8,,73.3,,15.5,
33,"Farinha, de milho, amarela",31,351.0,,7.2,,1.5,,79.1,,5.5,
34,"Farinha, de rosca",31,371.0,,11.4,,1.5,,75.8,,4.8,
35,"Farinha, de trigo",31,360.0,,9.8,,1.4,,75.1,,2.3,
36,"Farinha, láctea, de cereais",31,415.0,,11.9,,5.8,,77.8,,1.9,
37,"Lasanha, massa fresca, cozida",31,164.0,,5.8,,1.2,,32.5,,1.6,
38,"Lasanha, massa fresca, crua",31,220.0,,7.0,,1.3,,45.1,,1.6,
39,"Macarrão, instantâneo",31,436.0,,8.8,,17.2,,62.4,,5.6,
40,"Macarrão, trigo, cru",31,371.0,,10.0,,1.3,,77.9,,2.9,
