numero,descricao,pagina_pdf,energia_kcal,energia_kcal_ok,proteina_g,proteina_g_ok,lipideos_g,lipideos_g_ok,carboidrato_g,carboidrato_g_ok,fibra_g,fibra_g_ok
1,"Arroz, integral, cozido",29,124.0,ok,2.6,ok,1.0,ok,25.8,ok,2.7,ok
2,"Arroz, integral, cru",29,360.0,ok,7.3,ok,1.9,ok,77.5,ok,4.8,ok
3,"Arroz, tipo 1, cozido",29,128.0,ok,2.5,ok,0.2,ok,28.1,ok,1.6,ok
4,"Arroz, tipo 1, cru",29,358.0,ok,7.2,ok,0.3,ok,78.8,ok,1.6,ok
5,"Arroz, tipo 2, cozido",29,130.0,ok,2.6,ok,0.4,ok,28.2,ok,1.1,ok
6,"Arroz, tipo 2, cru",29,358.0,ok,7.2,ok,0.3,ok,78.9,ok,1.7,ok
7,"Aveia, flocos, crua",29,394.0,ok,13.9,ok,8.5,ok,66.6,ok,9.1,ok
8,"Biscoito, doce, maisena",29,443.0,ok,8.1,ok,12.0,ok,75.2,ok,2.1,ok
9,"Biscoito, doce, recheado com chocolate",29,472.0,ok,6.4,ok,19.6,ok,70.5,ok,3.0,ok
10,"Biscoito, doce, recheado com morango",29,471.0,ok,5.7,ok,19.6,ok,71.0,ok,1.5,ok
11,"Biscoito, doce, wafer, recheado de chocolate",29,502.0,ok,5.6,ok,24.7,ok,67.5,ok,1.8,ok
12,"Biscoito, doce, wafer, recheado de morango",29,513.0,ok,4.5,ok,26.4,ok,67.4,ok,0.8,ok
13,"Biscoito, salgado, cream cracker",29,432.0,ok,10.1,ok,14.4,ok,68.7,ok,2.5,ok
14,"Bolo, mistura para",29,419.0,ok,6.2,ok,6.1,ok,84.7,ok,1.7,ok
15,"Bolo, pronto, aipim",29,324.0,ok,4.4,ok,12.7,ok,47.9,ok,0.7,ok
16,"Bolo, pronto, chocolate",29,410.0,ok,6.2,ok,18.5,ok,54.7,ok,1.4,ok
17,"Bolo, pronto, coco",29,333.0,ok,5.7,ok,11.3,ok,52.3,ok,1.1,ok
18,"Bolo, pronto, milho",29,311.0,ok,4.8,ok,12.4,ok,45.1,ok,0.7,ok
19,"Canjica, branca, crua",29,358.0,ok,7.2,ok,1.0,ok,78.1,ok,5.5,ok
20,"Canjica, com leite integral",29,112.0,ok,2.4,ok,1.2,ok,23.6,ok,1.2,ok
21,"Cereais, milho, flocos, com sal",29,370.0,ok,7.3,ok,1.6,ok,80.8,ok,5.3,ok
22,"Cereais, milho, flocos, sem sal",29,363.0,ok,6.9,ok,1.2,ok,80.4,ok,1.8,ok
23,"Cereais, mingau, milho, infantil",29,394.0,ok,6.4,ok,1.1,ok,87.3,ok,3.2,ok
24,"Cereais, mistura para vitamina, trigo, cevada e aveia",29,381.0,ok,8.9,ok,2.1,ok,81.6,ok,5.0,ok
25,"Cereal matinal, milho",29,365.0,ok,7.2,ok,1.0,ok,83.8,ok,4.1,ok
26,"Cereal matinal, milho, açúcar",29,377.0,ok,4.7,ok,0.7,ok,88.8,ok,2.1,ok
27,"Creme de arroz, pó",29,386.0,ok,7.0,ok,1.2,ok,83.9,ok,1.1,ok
28,"Creme de milho, pó",29,333.0,ok,4.8,ok,1.6,ok,86.1,ok,3.7,ok
29,"Curau, milho verde",29,78.0,ok,2.4,ok,1.6,ok,13.9,ok,0.5,ok
30,"Curau, milho verde, mistura para",29,402.0,ok,2.2,ok,13.4,ok,79.8,ok,2.5,ok
31,"Farinha, de arroz, enriquecida",29,363.0,ok,1.3,ok,0.3,ok,85.5,ok,0.6,ok
32,"Farinha, de centeio, integral",31,336.0,ok,12.5,ok,1.8,ok,73.3,ok,15.5,ok
33,"Farinha, de milho, amarela",31,351.0,ok,7.2,ok,1.5,ok,79.1,ok,5.5,ok
34,"Farinha, de rosca",31,371.0,ok,11.4,ok,1.5,ok,75.8,ok,4.8,ok
35,"Farinha, de trigo",31,360.0,ok,9.8,ok,1.4,ok,75.1,ok,2.3,ok
36,"Farinha, láctea, de cereais",31,415.0,ok,11.9,ok,5.8,ok,77.8,ok,1.9,ok
37,"Lasanha, massa fresca, cozida",31,164.0,ok,5.8,ok,1.2,ok,32.5,ok,1.6,ok
38,"Lasanha, massa fresca, crua",31,220.0,ok,7.0,ok,1.3,ok,45.1,ok,1.6,ok
39,"Macarrão, instantâneo",31,436.0,ok,8.8,ok,17.2,ok,62.4,ok,5.6,ok
40,"Macarrão, trigo, cru",31,371.0,ok,10.0,ok,1.3,ok,77.9,ok,2.9,ok
